name,title,medium,year,size,sale,sold,estimate
Sergio Camargo,Chant du couple en 16 temps (also known as Couple en 16 temps),oil on wood relief,1966,Height 20.1 in.; Width 23.7 in.; Depth 0.7 in. / Height 51 cm.; Width 60.3 cm.; Depth 1.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00055]
Latin American Art",Bought In,"150,000 - 200,000 USD ?"
Abraham Palatnik,Untitled,painted relief on wood,1963,Height 29.5 in.; Width 18.6 in. / Height 75 cm.; Width 47.3 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00049]
Latin American Art","25,000 USD Premium","25,000 - 35,000 USD ?"
Antonio Seguí,Untitled,"oil, newsprint and collage on canvas",1992,Height 19.5 in.; Width 59.1 in. / Height 49.5 cm.; Width 150 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00061]
Latin American Art",Bought In,"18,000 - 22,000 USD ?"
Julio Galán,Undrampech,oil and wallpaper on canvas,1991,Height 63.5 in.; Width 82.7 in. / Height 161.3 cm.; Width 210 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00058]
Latin American Art","68,750 USD Premium","40,000 - 60,000 USD ?"
José Bedia,"Solo, solo, solo me lleva",acrylic on canvas,2001,Height 92.8 in.; Width 50.7 in. / Height 235.6 cm.; Width 128.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00060]
Latin American Art","20,000 USD Premium","20,000 - 25,000 USD ?"
René Portocarrero,Flores,oil on canvas,1967,Height 24 in.; Width 20 in. / Height 61 cm.; Width 50.8 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00072]
Latin American Art","200,000 USD Premium","30,000 - 40,000 USD ?"
Ricardo Martínez,La mirada,oil on canvas,2003,Height 23.6 in.; Width 31.5 in. / Height 60 cm.; Width 80 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00023]
Latin American Art","60,000 USD Premium","40,000 - 60,000 USD ?"
Juan Soriano,Caballo,tempera on canvas,1984,Height 51.5 in.; Width 38 in. / Height 130.8 cm.; Width 96.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00025]
Latin American Art",Bought In,"35,000 - 45,000 USD ?"
Alejandro Obregón,Costa cartagenera,acrylic on wood,Circa 1981,Height 7.5 in.; Width 10.6 in. / Height 19 cm.; Width 27 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00037]
Latin American Art",Bought In,"20,000 - 25,000 USD ?"
Hector Poleo,El leñador,oil on canvas,1942,Height 19 in.; Width 23.3 in. / Height 48.3 cm.; Width 59.1 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00034]
Latin American Art","50,000 USD Premium","50,000 - 70,000 USD ?"
Tomás Sánchez,Pensamiento- Nube,acrylic on canvas,2008,Height 29.5 in.; Width 21.9 in. / Height 75 cm.; Width 55.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00048]
Latin American Art","112,500 USD Premium","100,000 - 150,000 USD ?"
Guillermo Kuitca,Corona de espinas,oil on canvas,1995,Height 78.3 in.; Width 94.1 in. / Height 199 cm.; Width 239 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00059]
Latin American Art","81,250 USD Premium","50,000 - 70,000 USD ?"
Kazuya Sakai,The Sky of Texas,acrylic on shaped canvas,1981,Height 20 in.; Width 20.1 in.; Depth 5.1 in. / Height 50.8 cm.; Width 51.1 cm.; Depth 13 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00064]
Latin American Art",Bought In,"100,000 - 150,000 USD ?"
Cundo Bermúdez,La cena,oil on burlap,1958,Height 43.3 in.; Width 37.5 in. / Height 110 cm.; Width 95.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00071]
Latin American Art","187,500 USD Premium","150,000 - 200,000 USD ?"
Roberto Matta,Untitled,oil on canvas,Circa 1966-1967,Height 45.3 in.; Width 59 in. / Height 115.1 cm.; Width 149.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00031]
Latin American Art",Bought In,"150,000 - 200,000 USD ?"
Oswaldo Vigas,Dos figuras en amarillo,oil on board laid on Masonite,1956,Height 21.4 in.; Width 31.5 in. / Height 54.3 cm.; Width 80 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00028]
Latin American Art",Bought In,"50,000 - 70,000 USD ?"
Tilsa Tsuchiya,Ser mítico,oil on canvas,1971,Height 31 in.; Width 23 in. / Height 78.7 cm.; Width 58.4 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00036]
Latin American Art","350,000 USD Premium","150,000 - 250,000 USD ?"
Arcangelo Ianelli,Untitled,oil on canvas,1972,Height 39.4 in.; Width 51.4 in. / Height 100 cm.; Width 130.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00050]
Latin American Art","27,500 USD Premium","25,000 - 30,000 USD ?"
Eugenio Dittborn,The 21st History of the Human Face (Colophonia) Airmail Painting No. 122,"paint, stitching, photo-silkscreen and grommets on two sections of duck fabric with ink and postage on two airmail envelopes",1998,Height 82.3 in.; Width 54.9 in. / Height 209 cm.; Width 139.4 cm.,"30,000 - 40,000 USD ?",,"60,000 USD Premium ?"
Bolivian School (18),Angel with Standard,oil on canvas,Height 46 in.; Width 32.5 in. / Height 116.8 cm.; Width 82.6 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00078]
Latin American Art",Bought In,,
Anonymous-Peruvian(18),Vision of Saint Anthony of Padua,oil on canvas,Height 62.5 in.; Width 40.5 in. / Height 158.8 cm.; Width 102.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00091]
Latin American Art","6,250 USD Premium ?",,
Eduardo Stupia,Paisaje PB 9,"acrylic, graphite and charcoal on canvas",2015,Height 69.7 in.; Width 55.5 in. / Height 177 cm.; Width 141 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00070]
Latin American Art",Bought In,"20,000 - 25,000 USD ?"
Anonymous-Peruvian(18),Defenders of the Eucharist,oil on canvas,Height 74.3 in.; Width 54.3 in. / Height 188.6 cm.; Width 137.8 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00093]
Latin American Art","23,750 USD Premium ?",,
Ecuadorian School (18),Christ as the Good Shepherd,"oil on prepared paper, mounted on canvas",Height 25.2 in.; Width 17.3 in. / Height 64.1 cm.; Width 44 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00097]
Latin American Art",Bought In,,
Anonymous-Peruvian(18),Assumption of the Virgin,oil on canvas,Height 57.8 in.; Width 37.8 in. / Height 146.7 cm.; Width 95.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00080]
Latin American Art",Bought In,,
Anonymous-Peruvian (17),Blessed Virgin Mary with Saint Dominic and Saint Francis,oil on canvas,Height 33.2 in.; Width 28 in. / Height 84.4 cm.; Width 71 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00098]
Latin American Art",Bought In,,
Anonymous-Peruvian(18),Saint Rose of Lima and the Infant Jesus,oil on canvas,Height 40.6 in.; Width 29.3 in. / Height 103.2 cm.; Width 74.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00082]
Latin American Art","30,000 USD Premium ?",,
Anonymous-Peruvian(18),Immaculate Conception,oil on canvas,Height 36.8 in.; Width 26.5 in. / Height 93.4 cm.; Width 67.3 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00090]
Latin American Art",Bought In,,
Joaquín Torres-García,Transatlántico constructivo,oil on canvas,1936,Height 18.3 in.; Width 18 in. / Height 46.5 cm.; Width 45.8 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00032]
Latin American Art",Bought In,"220,000 - 280,000 USD ?"
Oswaldo Vigas,Objeto paisaje (color),gouache on cardstock mounted on cardboard glued on canvas,1955,Height 22 in.; Width 30 in. / Height 55.9 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00027]
Latin American Art","50,000 USD Premium","50,000 - 70,000 USD ?"
Joaquín Torres-García,Port gris au bateau rose,oil on canvas,1928,Height 21.3 in.; Width 25.6 in. / Height 54 cm.; Width 65.1 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00030]
Latin American Art","125,000 USD Premium","100,000 - 150,000 USD ?"
Geraldo de Barros,Untitled,formica on wood,1983,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00051]
Latin American Art",Bought In,"20,000 - 25,000 USD ?"
Omar Rayo,Chami,acrylic on canvas,1970-1974,Height 56.3 in.; Width 56.3 in. / Height 142.9 cm.; Width 142.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00052]
Latin American Art",Bought In,"20,000 - 25,000 USD ?"
Sarah Grilo,Talk to Men,oil on canvas,1966-1969,Height 38.2 in.; Width 38.2 in. / Height 97 cm.; Width 97 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00066]
Latin American Art","50,000 USD Premium","40,000 - 60,000 USD ?"
Anonymous-Peruvian(18),The Virgin of the Immaculate Conception with Saint Francis of Assisi and Saint Anthony of Padua,oil on canvas,Height 60.6 in.; Width 40 in. / Height 154 cm.; Width 101.6 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00087]
Latin American Art","47,500 USD Premium ?",,
Andean School (18),Archangel Michael,oil on canvas,Height 61.5 in.; Width 43.3 in. / Height 156.2 cm.; Width 109.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00083]
Latin American Art","30,000 USD Premium ?",,
Anonymous-Peruvian(18),Coronation of the Virgin with Saints,oil on canvas,Height 69.3 in.; Width 51.2 in. / Height 176 cm.; Width 130 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00088]
Latin American Art",Bought In,,
Ecuadorian School (18),Our Lady of Sorrows (Dolorosa),oil on canvas,Height 33.5 in.; Width 25 in. / Height 85.1 cm.; Width 63.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00094]
Latin American Art",Bought In,,
Anonymous-Peruvian(18),Saint Raymund Nonnatus,oil on canvas,Height 17 in.; Width 13.3 in. / Height 43.2 cm.; Width 33.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00092]
Latin American Art",Bought In,,
Andean School (18),"The Holy Trinity, Virgin Mary and a Dying Man",oil on canvas,Height 90.5 in.; Width 60.7 in. / Height 229.9 cm.; Width 154.3 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00084]
Latin American Art","32,500 USD Premium ?",,
Anonymous-Peruvian(18),Saint Raphael,oil on canvas,Height 42.2 in.; Width 33.5 in. / Height 107.3 cm.; Width 85.1 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00095]
Latin American Art","32,500 USD Premium ?",,
Anonymous-Mexican (17/18),The Judgement of Solomon,oil on copper,Height 12.6 in.; Width 16 in. / Height 32.1 cm.; Width 40.6 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00096]
Latin American Art",Bought In,,
Peruvian School-Cuzco (18),The Flight into Egypt,oil on canvas,Height 61.6 in.; Width 45.2 in. / Height 156.5 cm.; Width 114.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00085]
Latin American Art","25,000 USD Premium ?",,
Peruvian School-Cuzco (17/18),Allegory of the Holy Communion with Saint Catherine of Siena and Saint Barbara,oil on canvas,Height 40.2 in.; Width 31 in. / Height 102.2 cm.; Width 78.7 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00086]
Latin American Art","27,500 USD Premium ?",,
Mexican School (18),The Venerable Juan de Palafox y Mendoza,"painted silk, silver embroidery, and ink on paper laid on cardboard",Height 16.3 in.; Width 13.1 in. / Height 41.3 cm.; Width 33.3 cm.,Inscribed,"12,000 - 18,000 USD ?",,Bought In
Mexican School (18),Nuestra Señora de Guadalupe,oil on canvas,Circa 1750,Height 47.8 in.; Width 38 in. / Height 121.3 cm.; Width 96.5 cm.,"40,000 - 60,000 USD ?",,Bought In
Roberto Obregón,Eme Pe VII,cut rubber,1997,Height 27.2 in.; Width 55 in. / Height 69.2 cm.; Width 139.7 cm.,"25,000 - 30,000 USD ?",,"25,000 USD Premium ?"
Sarah Grilo,Muro gris,oil on canvas,1975,Height 63.8 in.; Width 52 in. / Height 162 cm.; Width 132 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00065]
Latin American Art","50,000 USD Premium","50,000 - 70,000 USD ?"
Bolivian School (18),The Triumph of Divine Love,oil on canvas,Height 42.5 in.; Width 27.2 in. / Height 108 cm.; Width 69.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00079]
Latin American Art","27,500 USD Premium ?",,
Rómulo Macció,Emplazamiento,oil on canvas,1965,Height 63.5 in.; Width 50.9 in. / Height 161.3 cm.; Width 129.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00063]
Latin American Art",Bought In,"40,000 - 60,000 USD ?"
Anonymous-Peruvian(18),The Annunciation,oil on wood,Height 9.5 in.; Width 6.8 in. / Height 24.1 cm.; Width 17.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00089]
Latin American Art",Bought In,,
Bolivian School (18),Coronation of the Virgin by the Holy Trinity,oil on canvas,Height 63.3 in.; Width 41.8 in. / Height 160.7 cm.; Width 106.1 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00081]
Latin American Art",Bought In,,
Thomas Hart Benton,Study for 'Lumber Mill',oil en grisaille on paperboard,Circa 1928,Height 8.5 in.; Width 11.6 in. / Height 21.6 cm.; Width 29.5 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00211]
American Art","32,500 USD Premium","30,000 - 50,000 USD ?"
Rockwell Kent,"Frozen Lake, Alaska",oil on canvas laid down on panel,Circa 1918-1919,Height 28.3 in.; Width 34 in. / Height 71.8 cm.; Width 86.4 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00210]
American Art","325,000 USD Premium","300,000 - 500,000 USD ?"
Sanford Robinson Gifford,A Study of Hunter Mountain at Twilight,oil on canvas,Circa 1865,Height 7 in.; Width 11.5 in. / Height 17.8 cm.; Width 29.2 cm.,"200,000 - 300,000 USD ?",,"175,000 USD Premium ?"
Norman Rockwell,"Jeff Raleigh's Piano Solo (""'Oh Lord,' Jeff said prayerfully, 'I wish Alice was here. Oh, I wish she could hear this...'"") (The Virtuoso)",oil on canvas,1939,Height 28.7 in.; Width 22.8 in. / Height 73 cm.; Width 57.8 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00217]
American Art","2,910,000 USD Premium","1,200,000 - 1,800,000 USD ?"
Abbott Fuller Graves,From the Terrace,oil on canvas,Height 32 in.; Width 51.3 in. / Height 81.3 cm.; Width 130.2 cm.,Signed,"50,000 - 70,000 USD ?",,Bought In
Thomas Hart Benton,Study for 'The Lord is My Shepherd',oil on canvas,Circa 1926,Height 8.5 in.; Width 6.6 in. / Height 21.6 cm.; Width 16.8 cm.,"20,000 - 30,000 USD ?",,Bought In
Theodore Robinson,Giverny,oil on canvas,1889,Height 16 in.; Width 12.8 in. / Height 40.6 cm.; Width 32.4 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00234]
American Art","50,000 USD Premium","20,000 - 30,000 USD ?"
Alfred Henry Maurer,Fenced Landscape,oil on gessoed board,Circa 1915-1920,Height 21.5 in.; Width 17.9 in. / Height 54.6 cm.; Width 45.4 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00259]
American Art","35,000 USD Premium","15,000 - 25,000 USD ?"
Victor William Higgins,Moorland Gorse and Bracken,oil on canvas,Circa 1911-1912,Height 42.2 in.; Width 47 in. / Height 107.3 cm.; Width 119.4 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00264]
American Art","40,000 USD Premium","40,000 - 60,000 USD ?"
Samuel S. Carr,Westward Ho for New York,oil on canvas,Height 10 in.; Width 14 in. / Height 25.4 cm.; Width 35.6 cm.,Signed,"20,000 - 30,000 USD ?",,"22,500 USD Premium ?"
William Glackens,"The Balustrade, Luxembourg Gardens",oil on canvas,1926,Height 13.3 in.; Width 18.5 in. / Height 33.7 cm.; Width 46.9 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00240]
American Art",Bought In,"40,000 - 60,000 USD ?"
Thomas Hill,Yosemite,oil on canvas,1871,Height 36.5 in.; Width 60.5 in. / Height 92.7 cm.; Width 153.7 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00226]
American Art","137,500 USD Premium","120,000 - 180,000 USD ?"
Charles Wimar,The Brigand,oil on canvas,Circa 1840-1843,Height 30 in.; Width 25 in. / Height 76.2 cm.; Width 63.5 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00265]
American Art",Bought In,"25,000 - 35,000 USD ?"
Albert Bierstadt,The Fishing Fleet,oil on board,1862,Height 9.7 in.; Width 13.7 in. / Height 24.7 cm.; Width 34.9 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00266]
American Art","43,750 USD Premium","40,000 - 60,000 USD ?"
Eastman Johnson,Study from Life Down East,oil on canvas,1860,Height 24 in.; Width 20 in. / Height 60.9 cm.; Width 50.8 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00275]
American Art",Bought In,"25,000 - 35,000 USD ?"
John Frederick Peto,"Tankard, Pipe, Matches and Biscuit",oil on canvas,1887,Height 6.3 in.; Width 9.3 in. / Height 15.9 cm.; Width 23.5 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00277]
American Art","62,500 USD Premium","12,000 - 18,000 USD ?"
Thomas Moran,"The Grand Canal, Venice",oil on canvas,1903,Height 20 in.; Width 16 in. / Height 50.8 cm.; Width 40.6 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00230]
American Art","100,000 USD Premium","70,000 - 100,000 USD ?"
Albert Bierstadt,Mount Hood,oil on paper laid down on canvas laid down on masonite,Circa 1889,Height 13.5 in.; Width 19.3 in. / Height 34.3 cm.; Width 48.9 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00225]
American Art","87,500 USD Premium","100,000 - 150,000 USD ?"
Joseph Henry Sharp,"Spring, The Desert and Mt. San Jacinto at Palm Springs, California",oil on gessoed board,Circa 1922,Height 15.7 in.; Width 19.8 in. / Height 40 cm.; Width 50.2 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00262]
American Art","35,000 USD Premium","12,000 - 18,000 USD ?"
Wolf Kahn,Down East Sunset I,oil on canvas,1997,Height 43 in.; Width 73 in. / Height 109.2 cm.; Width 185.4 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00002]
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Live Sale","206,250 USD Premium","50,000 - 70,000 USD ?"
Emily Mason,Aquifer,oil on canvas,2010,Height 56 in.; Width 52 in. / Height 142.2 cm.; Width 132.1 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00003]
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Live Sale","93,750 USD Premium","10,000 - 15,000 USD ?"
Rackstraw Downes,"Ventilation Tower under Renovation #1, Bermuda High",oil on canvas,1997,Height 11.7 in.; Width 23.3 in. / Height 29.8 cm.; Width 59.1 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00019]
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Live Sale","8,750 USD Premium","15,000 - 25,000 USD ?"
Ellen Altfest,Untitled,oil on canvas,1997,Height 8 in.; Width 8 in. / Height 20.3 cm.; Width 20.3 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00022]
Fields of Vision: The Private Collection of Artists Wolf Kahn and Emily Mason Live Sale",Bought In,"10,000 - 15,000 USD ?"
Milton Avery,Sleeping Nude,oil on canvas,1950,Height 26 in.; Width 42 in. / Height 66 cm.; Width 106.7 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00206]
American Art","375,000 USD Premium","300,000 - 500,000 USD ?"
John Singer Sargent,Spanish Madonna and Child,oil on canvas,Circa 1895,Height 18.3 in.; Width 10.7 in. / Height 46.4 cm.; Width 27.3 cm.,"50,000 - 70,000 USD ?",,Bought In
Max Kuehne,Brooklyn Bridge,oil on canvas,Circa 1912,Height 26 in.; Width 32.2 in. / Height 66 cm.; Width 81.9 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00241]
American Art","37,500 USD Premium","20,000 - 30,000 USD ?"
Reginald Marsh,Iron Workers,oil on canvas,1923,Height 18 in.; Width 25 in. / Height 45.7 cm.; Width 63.5 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00242]
American Art","32,500 USD Premium","25,000 - 35,000 USD ?"
Jackson Pollock,Untitled (Landscape with Tree to Right),oil on canvas,1936,Height 24 in.; Width 30 in. / Height 60.9 cm.; Width 76.2 cm.,"Christie's New York: Tuesday, May 18, 2021 [Lot 00213]
American Art","275,000 USD Premium","250,000 - 350,000 USD ?"
